,Gaza,,,,,West Bank,,,,,Gaza recalculated to add 0 seperately,,,
Age Group,2023,,,, Age Group ,2023,,,,Age Group,2023,,,
,Male,Female,Total,,, Male , Female , Total ,,,Male,Female,Total,
0 - 4," 171,595 "," 165,462 "," 337,057 ",, 0 - 4 ," 210,329 "," 202,865 "," 413,194 ",,0," 35,495 "," 34,226 "," 69,721 ",* calculated using UNFPA projection for 2023; and proportion of 0 from 0-4 from Gaza pop by age group for 2022 and male:female ratio in 0-4 for 2023
5 - 9," 145,276 "," 139,182 "," 284,458 ",, 5 - 9 ," 195,187 "," 185,309 "," 380,496 ",,1- 4 ," 136,100 "," 131,236 "," 267,336 ",
10 - 14," 141,660 "," 135,532 "," 277,192 ",, 10 - 14 ," 181,185 "," 172,520 "," 353,705 ",,5 - 9," 145,276 "," 139,182 "," 284,458 ",
15 - 19," 120,553 "," 115,384 "," 235,937 ",, 15 - 19 ," 166,901 "," 160,358 "," 327,259 ",,10 - 14," 141,660 "," 135,532 "," 277,192 ",
20 - 24," 98,073 "," 93,854 "," 191,927 ",, 20 - 24 ," 153,660 "," 147,822 "," 301,482 ",,15 - 19," 120,553 "," 115,384 "," 235,937 ",
25 - 29," 97,192 "," 94,657 "," 191,849 ",, 25 - 29 ," 147,052 "," 138,811 "," 285,863 ",,20 - 24," 98,073 "," 93,854 "," 191,927 ",
30 - 34," 87,562 "," 85,986 "," 173,548 ",, 30 - 34 ," 130,605 "," 123,145 "," 253,750 ",,25 - 29," 97,192 "," 94,657 "," 191,849 ",
35 - 39," 64,156 "," 64,356 "," 128,512 ",, 35 - 39 ," 99,269 "," 97,274 "," 196,543 ",,30 - 34," 87,562 "," 85,986 "," 173,548 ",
40 - 44," 49,109 "," 49,977 "," 99,086 ",, 40 - 44 ," 81,206 "," 80,836 "," 162,042 ",,35 - 39," 64,156 "," 64,356 "," 128,512 ",
45 - 49," 41,317 "," 41,214 "," 82,531 ",, 45 - 49 ," 74,284 "," 72,118 "," 146,402 ",,40 - 44," 49,109 "," 49,977 "," 99,086 ",
50 - 54," 31,260 "," 30,876 "," 62,136 ",, 50 - 54 ," 64,380 "," 61,762 "," 126,142 ",,45 - 49," 41,317 "," 41,214 "," 82,531 ",
55 - 59," 28,753 "," 27,135 "," 55,888 ",, 55 - 59 ," 53,308 "," 50,568 "," 103,876 ",,50 - 54," 31,260 "," 30,876 "," 62,136 ",
60 - 64," 20,588 "," 19,882 "," 40,470 ",, 60 - 64 ," 41,216 "," 39,465 "," 80,681 ",,55 - 59," 28,753 "," 27,135 "," 55,888 ",
65 - 69," 13,323 "," 14,061 "," 27,384 ",, 65 - 69 ," 26,168 "," 26,009 "," 52,177 ",,60 - 64," 20,588 "," 19,882 "," 40,470 ",
70 - 74," 9,282 "," 10,181 "," 19,463 ",, 70 - 74 ," 16,143 "," 17,184 "," 33,327 ",,65 - 69," 13,323 "," 14,061 "," 27,384 ",
75 - 79," 4,934 "," 5,709 "," 10,643 ",, 75 - 79 ," 9,206 "," 11,033 "," 20,239 ",,70 - 74," 9,282 "," 10,181 "," 19,463 ",
80 +," 3,293 "," 5,170 "," 8,463 ",, 80 + ," 7,875 "," 11,853 "," 19,728 ",,75 - 79," 4,934 "," 5,709 "," 10,643 ",
Total," 1,127,926 "," 1,098,618 "," 2,226,544 ",, Total ," 1,657,974 "," 1,598,932 "," 3,256,906 ",,80 +," 3,293 "," 5,170 "," 8,463 ",
,,,,,,,,,,Total," 1,127,926 "," 1,098,618 "," 2,226,544 ",
